Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI,""Trade Indices"",""9"",""Argentina"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""52717"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""3839"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""3124"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""15305"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2019"",""2019"",""1000 $"",""56826"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2020"",""2020"",""1000 $"",""55150"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""1015"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""21019"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""155718"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""5429"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2019"",""2019"",""1000 $"",""610"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2020"",""2020"",""1000 $"",""674"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""803583"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""835858"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""951789"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""807806"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2019"",""2019"",""1000 $"",""700555"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""94"",""Export Value Base Quantity"",""564"",""Wine"",""2020"",""2020"",""1000 $"",""535918"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""95"",""Export Value Base Price"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""840743"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""95"",""Export Value Base Price"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""807499"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""95"",""Export Value Base Price"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""700590"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""95"",""Export Value Base Price"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""838253"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""95"",""Export Value Base Price"",""564"",""Wine"",""2019"",""2019"",""1000 $"",""934718"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""95"",""Export Value Base Price"",""564"",""Wine"",""2020"",""2020"",""1000 $"",""1196674"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""93"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""140"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""845"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""144"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""60"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""462"",""Import Value Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""65"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""145"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""11"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""9"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""42"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""156"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""464"",""Import Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""151"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""13"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""277"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""2052"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""72"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""8"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""465"",""Import Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""9"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""99"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""99"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""98"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""99"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""96"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""492"",""Export Value Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""94"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""97"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""101"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""115"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""98"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""85"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""494"",""Export Unit/Value Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""65"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2015"",""2015"",""index"",""102"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2016"",""2016"",""index"",""98"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2017"",""2017"",""index"",""85"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2018"",""2018"",""index"",""101"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2019"",""2019"",""index"",""113"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""9"",""Argentina"",""495"",""Export Quantity Index (2014-2016 = 100)"",""564"",""Wine"",""2020"",""2020"",""index"",""145"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""3097"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""3096"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2017"",""2017"",""1000 $"",""3466"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2018"",""2018"",""1000 $"",""3534"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2019"",""2019"",""1000 $"",""3845"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""64"",""Import Value Base Period Quantity"",""564"",""Wine"",""2020"",""2020"",""1000 $"",""3402"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2015"",""2015"",""1000 $"",""3436"",""Fc"",""Calculated data"""
"TI,""Trade Indices"",""19"",""Bolivia (Plurinational State of)"",""65"",""Import Value Base Period Price"",""564"",""Wine"",""2016"",""2016"",""1000 $"",""2581"",""Fc"",""Calculated data"""
